ano_mes,setor,ret_setor,n_empresas,data
2011-11,Materiais Básicos,-0.10577823095528457,29,2011-11-30
2011-11,Outros,-0.2733860702063161,2,2011-11-30
2011-11,"Petróleo, Gás e Biocombustíveis",-0.07964975967405005,8,2011-11-30
2011-11,Saúde,0.03598434004806503,12,2011-11-30
2011-11,Tecnologia da Informação,-0.01447312815510519,6,2011-11-30
2011-11,Utilidade Pública,0.019891409812928897,34,2011-11-30
2011-12,Bens Industriais,-0.0046722668965252815,38,2011-12-31
2011-12,Comunicações,0.09274725366226881,3,2011-12-31
2011-12,Consumo Cíclico,-0.032405990386688496,61,2011-12-31
2011-12,Consumo não Cíclico,0.02233686452601767,16,2011-12-31
2011-12,Financeiro,0.021551886138856054,51,2011-12-31
2011-12,Materiais Básicos,-0.012132745003087938,28,2011-12-31
2011-12,Outros,-0.04414630357283922,2,2011-12-31
2011-12,"Petróleo, Gás e Biocombustíveis",0.0020651462085315986,8,2011-12-31
2011-12,Saúde,0.0792805945386394,14,2011-12-31
2011-12,Tecnologia da Informação,0.019618893350805317,6,2011-12-31
2011-12,Utilidade Pública,0.04495604955782922,34,2011-12-31
2012-01,Bens Industriais,0.006354321368700411,36,2012-01-31
2012-01,Comunicações,-0.051709622414730205,3,2012-01-31
2012-01,Consumo Cíclico,0.05817942122999819,64,2012-01-31
2012-01,Consumo não Cíclico,0.020106402942563606,15,2012-01-31
2012-01,Financeiro,0.017944461337801882,51,2012-01-31
2012-01,Materiais Básicos,0.1098572876973947,28,2012-01-31
2012-01,Outros,0.6949585000824747,1,2012-01-31
2012-01,"Petróleo, Gás e Biocombustíveis",0.03513196138467045,8,2012-01-31
2012-01,Saúde,0.01984866969440122,13,2012-01-31
2012-01,Tecnologia da Informação,0.021679126777378082,6,2012-01-31
2012-01,Utilidade Pública,0.025672975868172115,34,2012-01-31
2012-02,Bens Industriais,0.04937872678561959,37,2012-02-29
2012-02,Comunicações,0.03781150565066952,3,2012-02-29
2012-02,Consumo Cíclico,0.05560934139029694,63,2012-02-29
2012-02,Consumo não Cíclico,0.06541715445742043,14,2012-02-29
2012-02,Financeiro,0.04909865809472327,49,2012-02-29
2012-02,Materiais Básicos,0.057631026519373525,27,2012-02-29
2012-02,Outros,0.15232873963133642,1,2012-02-29
2012-02,"Petróleo, Gás e Biocombustíveis",0.09898323279274274,8,2012-02-29
2012-02,Saúde,0.08310437436957807,13,2012-02-29
2012-02,Tecnologia da Informação,0.05311830566716047,5,2012-02-29
2012-02,Utilidade Pública,0.04032276859608801,35,2012-02-29
2012-03,Bens Industriais,0.032811491505692826,38,2012-03-31
2012-03,Comunicações,0.06024467429602298,3,2012-03-31
2012-03,Consumo Cíclico,-0.01127655338283901,63,2012-03-31
2012-03,Consumo não Cíclico,0.03054692809150013,15,2012-03-31
2012-03,Financeiro,0.03549165457744828,51,2012-03-31
2012-03,Materiais Básicos,-0.04028743442211955,29,2012-03-31
2012-03,Outros,-0.3282368126494106,2,2012-03-31
2012-03,"Petróleo, Gás e Biocombustíveis",-0.02476227900576025,8,2012-03-31
2012-03,Saúde,0.012128466586395607,13,2012-03-31
2012-03,Tecnologia da Informação,0.09327354501393717,5,2012-03-31
2012-03,Utilidade Pública,0.023085254161487212,32,2012-03-31
2012-04,Bens Industriais,-0.01507536869793884,39,2012-04-30
2012-04,Comunicações,-0.06115400254428834,3,2012-04-30
2012-04,Consumo Cíclico,-0.011302113018677335,62,2012-04-30
2012-04,Consumo não Cíclico,0.0003434650630623045,14,2012-04-30
2012-04,Financeiro,-0.026313826910681737,48,2012-04-30
2012-04,Materiais Básicos,-0.026301364877471343,28,2012-04-30
2012-04,Outros,0.09257121656779799,2,2012-04-30
2012-04,"Petróleo, Gás e Biocombustíveis",-0.044027937330161415,8,2012-04-30
2012-04,Saúde,0.002807238980052025,13,2012-04-30
2012-04,Tecnologia da Informação,-0.01498062500123618,5,2012-04-30
2012-04,Utilidade Pública,-0.007166471381440102,34,2012-04-30
2012-05,Bens Industriais,-0.07653147311817013,40,2012-05-31
2012-05,Comunicações,-0.14027348283354824,4,2012-05-31
2012-05,Consumo Cíclico,-0.0951921475515138,64,2012-05-31
2012-05,Consumo não Cíclico,-0.06559943213967091,14,2012-05-31
2012-05,Financeiro,-0.05824303207784649,50,2012-05-31
2012-05,Materiais Básicos,-0.13347106688622562,28,2012-05-31
2012-05,Outros,-0.4307319316661433,2,2012-05-31
2012-05,"Petróleo, Gás e Biocombustíveis",-0.16079868265196068,8,2012-05-31
2012-05,Saúde,-0.009775727208197518,13,2012-05-31
2012-05,Tecnologia da Informação,-0.06776955859409947,5,2012-05-31
2012-05,Utilidade Pública,-0.016976426341597683,34,2012-05-31
2012-06,Bens Industriais,-0.015284856407581026,38,2012-06-30
2012-06,Comunicações,-0.05994185462862767,4,2012-06-30
2012-06,Consumo Cíclico,-0.02344221155391516,65,2012-06-30
2012-06,Consumo não Cíclico,0.007732988586807091,14,2012-06-30
2012-06,Financeiro,-0.04306275866631862,49,2012-06-30
2012-06,Materiais Básicos,-0.02584430871842642,28,2012-06-30
2012-06,Outros,0.0,2,2012-06-30
