variavel,coef,pvalor,subsetor,r2
const,0.0050043457673559725,0.309923255568902,"Tecidos, Vestuário e Calçados",0.28948244977022974
delta_ipca_lag,0.020489468749111762,0.14769067324120266,"Tecidos, Vestuário e Calçados",0.28948244977022974
delta_selic_lag,-0.02970375566408853,0.023595063395939354,"Tecidos, Vestuário e Calçados",0.28948244977022974
ibc_var_lag,0.6097918256637103,0.12296776223647823,"Tecidos, Vestuário e Calçados",0.28948244977022974
var_dolar_lag,-1.0662323733073549,6.168639397516953e-12,"Tecidos, Vestuário e Calçados",0.28948244977022974
const,-0.009556442411461103,0.16972049719625537,Telecomunicações,0.20339829985227076
delta_ipca_lag,-0.018796603871973277,0.3481225796574212,Telecomunicações,0.20339829985227076
delta_selic_lag,-0.07999296440424367,3.0095418402224558e-05,Telecomunicações,0.20339829985227076
ibc_var_lag,-1.336239541558728,0.016986853748144744,Telecomunicações,0.20339829985227076
var_dolar_lag,-0.845390636368825,4.040476200737757e-05,Telecomunicações,0.20339829985227076
const,0.006712387860830242,0.19580863819903407,Transporte,0.3715354767961976
delta_ipca_lag,-0.03427811952327855,0.02131491860408172,Transporte,0.3715354767961976
delta_selic_lag,-0.04582589958965794,0.0010630276784042128,Transporte,0.3715354767961976
ibc_var_lag,0.5837595823051892,0.16384710626095464,Transporte,0.3715354767961976
var_dolar_lag,-1.3494224800189456,8.171735567574961e-16,Transporte,0.3715354767961976
const,-0.0012645148761006308,0.8397234693126054,Utilidades Domésticas,0.1734661298352902
delta_ipca_lag,-0.026753551302122022,0.1341262570131176,Utilidades Domésticas,0.1734661298352902
delta_selic_lag,-0.049889908690932946,0.003008573742462718,Utilidades Domésticas,0.1734661298352902
ibc_var_lag,0.7360135129206793,0.1469041064803872,Utilidades Domésticas,0.1734661298352902
var_dolar_lag,-0.8225323428050084,1.387838366292089e-05,Utilidades Domésticas,0.1734661298352902
const,0.004394140495723667,0.48377796767683867,Viagens e Lazer,0.22914454900691883
delta_ipca_lag,-0.03398493585276571,0.056421560388932465,Viagens e Lazer,0.22914454900691883
delta_selic_lag,-0.0326385925136308,0.050304988073738066,Viagens e Lazer,0.22914454900691883
ibc_var_lag,0.5137003715341856,0.30858202404419033,Viagens e Lazer,0.22914454900691883
var_dolar_lag,-1.1499951939872115,3.021940596496147e-09,Viagens e Lazer,0.22914454900691883
const,0.0181049351066317,0.03060199214479108,Água e Saneamento,0.10897932431198498
delta_ipca_lag,0.040574170627572854,0.09233582115041666,Água e Saneamento,0.10897932431198498
delta_selic_lag,-0.03624900452438696,0.10811413114919578,Água e Saneamento,0.10897932431198498
ibc_var_lag,-0.8534350384880449,0.1940101143266627,Água e Saneamento,0.10897932431198498
var_dolar_lag,-0.8887936945650912,0.00027241937002346806,Água e Saneamento,0.10897932431198498
