ticker,delta_selic_lag
ELEK4,-0.11315922878725167
PRIO3,-0.11263820944896233
SNSY5,-0.11228358760580148
CSMG3,-0.11088892594198292
PSSA3,-0.10556660446646235
SMTO3,-0.10344193191773395
CPRE3,-0.10234676141307061
CSED3,-0.09413846522298316
CSNA3,-0.09326139553044524
VIVA3,-0.08739496529204359
ELMD3,-0.08577870035187046
JHSF3,-0.06974076824124222
DEXP3,-0.06362190786112296
FRAS3,-0.059328546121554075
GSHP3,-0.0563042002075434
EUCA4,-0.056088783406482164
CBAV3,-0.0485515405839368
POMO4,-0.04775143845198203
TEKA4,-0.047413299594690206
CEBR6,-0.0468546613317305
RDOR3,-0.04507974370932409
LINX3,-0.04373496278690373
CSAN3,-0.04256151237435997
FESA4,-0.030163024701866787
RPMG3,-0.02667035773219211
MYPK3,-0.026288881324056827
PETR4,-0.024438350471109274
SEER3,-0.02373439283667896
HBSA3,-0.02293964496714814
MILS3,-0.02172616397956693
JSLG3,-0.021439993386077945
LIPR3,-0.02045385787397348
ENEV3,-0.008660076242803134
GRND3,-0.007107436961035571
EKTR4,-0.005905788621159006
AMBV4,0.009667755326528998
SANB11,0.012262408404413628
MTIG4,0.014160746378824363
WEGE3,0.015248042572765705
VALE3,0.022002607412724
SYNE3,0.02230476835158796
RAIZ4,0.022774428796315783
SCAR3,0.02398550735571609
MOAR3,0.02466701311716822
FRTA3,0.02620175774489901
TELB4,0.031783707748550175
ECOR3,0.03590202970506263
GETI4,0.03642136681451072
LREN3,0.0460381020142202
EMBJ3,0.05115880856725774
EZTC3,0.05120617566442533
CYRE3,0.05245144460797166
CRIV4,0.057809559119526205
RHDS3,0.0633374140965556
BGIP4,0.06559231286193123
PGMN3,0.07186212925266736
DIRR3,0.07997548375628936
CCHI3,0.08410423856051655
MTSA4,0.08831116192459537
TOTS3,0.08935075393968696
SIMH3,0.09569869928865889
RENT3,0.09622631948168257
PRBC4,0.10050063185859205
AFLT3,0.10265015052240427
EQPA3,0.11261200529925809
SFSA4,0.11319212828391549
IGTA3,0.12548244252503646
CRFB3,0.12623215967899062
EQTL3,0.12968391450736638
ALSC3,0.1301914851781513
RAIL3,0.14384996735474656
LWSA3,0.14482410695767012
DASA3,0.1476258331643011
ABEV3,0.15127498790828675
BRFS3,0.15364611669316383
SHUL4,0.1536537423509352
ITSA4,0.16928189645897887
TUPY3,0.17038571936941502
COCE5,0.18640293436129166
EGIE3,0.18684523322781646
ALOS3,0.19059168176865143
TAEE11,0.2078827861772519
CLSA3,0.21245443666367117
