variavel,lag,correlacao,subsetor
delta_selic,1,0.033034394502871385,Embalagens
delta_selic,2,0.002410608614851292,Embalagens
delta_selic,3,-0.01631227019124568,Embalagens
delta_selic,4,-0.058878797357093206,Embalagens
delta_selic,5,-0.03261978081429344,Embalagens
delta_selic,6,-0.06330776849914009,Embalagens
delta_ipca,0,0.02885412908769303,Embalagens
delta_ipca,1,-0.01303680508679599,Embalagens
delta_ipca,2,0.0657142266075141,Embalagens
delta_ipca,3,-0.15904051971577657,Embalagens
delta_ipca,4,0.13316611445929352,Embalagens
delta_ipca,5,-0.06907412537981052,Embalagens
delta_ipca,6,0.14900668384085372,Embalagens
var_dolar,0,-0.33611459172275765,Embalagens
var_dolar,1,0.012424990070041863,Embalagens
var_dolar,2,-0.07754872710317154,Embalagens
var_dolar,3,0.031030848969381214,Embalagens
var_dolar,4,0.12681708299021496,Embalagens
var_dolar,5,-0.11892720850374573,Embalagens
var_dolar,6,-0.09749659226659062,Embalagens
ibc_var,0,0.16803734061900047,Embalagens
ibc_var,1,-0.014090484930739392,Embalagens
ibc_var,2,0.06890664596813204,Embalagens
ibc_var,3,-0.04563560879777641,Embalagens
ibc_var,4,0.0648905508240537,Embalagens
ibc_var,5,0.028909649529011698,Embalagens
ibc_var,6,0.1654831384964841,Embalagens
delta_selic,0,-0.06719783985227605,Energia Elétrica
delta_selic,1,-0.05197041525776178,Energia Elétrica
delta_selic,2,0.00011730305048704447,Energia Elétrica
delta_selic,3,-0.001187539580534064,Energia Elétrica
delta_selic,4,0.016017744979859493,Energia Elétrica
delta_selic,5,0.04340540672107762,Energia Elétrica
delta_selic,6,-0.0045436092609238,Energia Elétrica
delta_ipca,0,-0.05810563095715522,Energia Elétrica
delta_ipca,1,-0.029036221498989188,Energia Elétrica
delta_ipca,2,0.09645416679834695,Energia Elétrica
delta_ipca,3,-0.09061436483063666,Energia Elétrica
delta_ipca,4,-0.05477352133454545,Energia Elétrica
delta_ipca,5,0.036754163808397425,Energia Elétrica
delta_ipca,6,0.12367444459883017,Energia Elétrica
var_dolar,0,-0.46749725917878304,Energia Elétrica
var_dolar,1,-0.02809860205038173,Energia Elétrica
var_dolar,2,0.08267213474656711,Energia Elétrica
var_dolar,3,0.03344411679391056,Energia Elétrica
var_dolar,4,-0.0015880558018767552,Energia Elétrica
var_dolar,5,-0.04842922372104772,Energia Elétrica
