ano_mes,data,ibov,ret_ibov,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2009-07,2009-07-31,54766.0,0.06216759846796727,0.24,1.9328,9.01,88.30943,-0.01274950438796607,-0.5299999999999994,-0.12,0.0014291805487200993
2009-08,2009-08-31,56489.0,0.03097636548580951,0.15,1.8452,8.65,89.74541,-0.046382056056830434,-0.35999999999999943,-0.09,0.016260777586266872
2009-09,2009-09-30,61518.0,0.08528388598370995,0.24,1.8198,8.65,90.46376,-0.013861067761074986,0.0,0.09,0.008004309078313732
2009-11,2009-11-30,67044.0,0.08556425756113306,0.41,1.7262,8.65,91.29076,-0.007042689156662729,0.0,0.12999999999999995,0.0010579610914194237
2010-03,2010-03-31,70372.0,0.056548397350587365,0.52,1.7858,8.65,95.85478,-0.030768264884502128,0.0,-0.26,0.009564315466322748
2010-04,2010-04-30,67530.0,-0.04122351319004913,0.57,1.7566,8.72,96.34601,-0.016486371600099026,0.07000000000000028,0.04999999999999993,0.005124731390547366
2010-05,2010-05-31,63047.0,-0.06869146359254152,0.43,1.8132,9.4,95.6075,0.03171311758367712,0.6799999999999997,-0.13999999999999996,-0.007665185096923155
2010-06,2010-06-30,60936.0,-0.03405634692372139,0.0,1.8065,9.94,95.43252,-0.0037019684789992846,0.5399999999999991,-0.43,-0.001830191146092175
2010-08,2010-08-31,65145.0,-0.035734240758111824,0.04,1.7596,10.66,96.55101,-0.005667021853451026,0.33999999999999986,0.03,0.00624752804931239
2010-09,2010-09-30,69430.0,0.06370349611028736,0.45,1.7187,10.66,97.43154,-0.02351831939192295,0.0,0.41000000000000003,0.009119842454263116
2010-11,2010-11-30,67705.0,-0.0429035721947546,0.83,1.7133,10.66,98.36071,0.017546375737797826,0.0,0.07999999999999996,0.011245241444881815
2011-01,2011-01-31,66575.0,-0.040187921965321394,0.83,1.6749,10.85,98.5386,-0.010984880223752325,0.1899999999999995,0.19999999999999996,0.012353268846178267
2011-02,2011-02-28,67383.0,0.012063628884771305,0.8,1.668,11.17,98.9366,-0.004128158065732523,0.3200000000000003,-0.029999999999999916,0.004039026330798334
2011-03,2011-03-31,68587.0,0.01771025181567154,0.79,1.6591,11.62,98.94981,-0.0053500172693823345,0.4499999999999993,-0.010000000000000009,0.0001335198500858059
2011-05,2011-05-31,64620.0,-0.02314390545102718,0.47,1.6135,11.92,99.14962,0.01693843428643027,0.17999999999999972,-0.30000000000000004,0.0018136787143432365
2011-06,2011-06-30,62404.0,-0.03489458451134908,0.15,1.587,12.1,99.58084,-0.01656029096560746,0.17999999999999972,-0.31999999999999995,0.004349184595967115
2011-08,2011-08-31,56495.0,-0.04038079622421087,0.37,1.597,12.42,99.57595,0.02094416777284247,0.16999999999999993,0.21,-0.0009685721707162198
