ano_mes,segmento,ret_segmento,n_empresas,data
2010-06,Holdings Diversificadas,-0.006382698574642423,4,2010-06-30
2010-06,Hotelaria,-0.0792493716541407,1,2010-06-30
2010-06,Incorporações,0.008969118079493691,19,2010-06-30
2010-06,Intermediação Imobiliária,0.011531599842812046,2,2010-06-30
2010-06,Linhas Aéreas de Passageiros,0.04085919969913698,2,2010-06-30
2010-06,Madeira,0.026565873410312357,2,2010-06-30
2010-06,Materiais Diversos,0.16509535941939313,1,2010-06-30
2010-06,Material Aeronáutico e de Defesa,-0.0430832358858706,1,2010-06-30
2010-06,Material Rodoviário,0.03530490049587764,6,2010-06-30
2010-06,Medicamentos e Outros Produtos,-0.005575680475109285,4,2010-06-30
2010-06,Minerais Metálicos,-0.1003118750930901,3,2010-06-30
2010-06,"Motores , Compressores e Outros",0.039523368041401996,2,2010-06-30
2010-06,Máq. e Equip. Construção e Agrícolas,-0.0734035564210389,1,2010-06-30
2010-06,Máq. e Equip. Industriais,0.010323475724216514,6,2010-06-30
2010-06,Outros,-0.11310787517559007,2,2010-06-30
2010-06,Papel e Celulose,-0.10247262879353691,1,2010-06-30
2010-06,Petroquímicos,0.02378487380731807,6,2010-06-30
2010-06,Produtos Diversos,0.033043339144883076,3,2010-06-30
2010-06,Produtos de Cuidado Pessoal,0.0535054343112753,1,2010-06-30
2010-06,Produtos de Limpeza,-0.13794641083363945,1,2010-06-30
2010-06,Produtos para Construção,0.08931096846486293,2,2010-06-30
2010-06,Programas e Serviços,0.005011502814002922,4,2010-06-30
2010-06,Químicos Diversos,-0.036088041205261934,1,2010-06-30
2010-06,Seguradoras,-0.01641440713295461,3,2010-06-30
2010-06,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.06243714573968275,6,2010-06-30
2010-06,Serviços Diversos,0.11869488352921802,3,2010-06-30
2010-06,Serviços Educacionais,-0.06234327757232746,3,2010-06-30
2010-06,Serviços Financeiros Diversos,-0.005758443885293341,3,2010-06-30
2010-06,Serviços de Apoio e Armazenagem,0.0,1,2010-06-30
2010-06,Siderurgia,-0.04739362153311257,5,2010-06-30
2010-06,Soc. Crédito e Financiamento,0.011185745230071986,2,2010-06-30
2010-06,"Tecidos, Vestuário e Calçados",0.09335700383220386,4,2010-06-30
2010-06,Telecomunicações,-0.10406188341824496,1,2010-06-30
2010-06,Transporte Ferroviário,-0.7472144018302209,1,2010-06-30
2010-06,Transporte Hidroviário,-0.022069731643764953,2,2010-06-30
2010-06,Transporte Rodoviário,0.09794589833769532,2,2010-06-30
2010-06,Utensílios Domésticos,0.0,1,2010-06-30
2010-06,Vestuário,0.015186957742804097,3,2010-06-30
2010-06,Água e Saneamento,0.05175211417691161,2,2010-06-30
2010-07,Acessórios,0.40546510810816416,1,2010-07-31
2010-07,Agricultura,0.06156111148063411,3,2010-07-31
2010-07,Alimentos Diversos,-0.012684800168144552,3,2010-07-31
2010-07,Aluguel de carros,0.14636559479560707,1,2010-07-31
2010-07,Armas e Munições,0.04877205463017242,1,2010-07-31
2010-07,Artefatos de Cobre,0.2061765172267762,1,2010-07-31
2010-07,Artefatos de Ferro e Aço,0.10299939913073906,7,2010-07-31
2010-07,Automóveis e Motocicletas,0.041269978934720175,2,2010-07-31
2010-07,Açucar e Alcool,0.14876503118406204,1,2010-07-31
2010-07,Bancos,0.1032450205369301,21,2010-07-31
2010-07,Bicicletas,0.10546829652450551,1,2010-07-31
2010-07,Brinquedos e Jogos,0.06290986620464334,1,2010-07-31
2010-07,Calçados,0.034535250280619774,3,2010-07-31
2010-07,Carnes e Derivados,-0.012612427060575682,5,2010-07-31
2010-07,Computadores e Equipamentos,0.03867530406621659,3,2010-07-31
2010-07,Eletrodomésticos,-0.031597127936916033,1,2010-07-31
2010-07,Embalagens,0.010815131975233733,2,2010-07-31
2010-07,Energia Elétrica,0.01931688331737373,25,2010-07-31
2010-07,Engenharia Consultiva,0.03854162793593913,2,2010-07-31
2010-07,Equipamentos e Serviços,0.08389338559609705,2,2010-07-31
2010-07,Exploração de Imóveis,0.054479209945960644,12,2010-07-31
2010-07,Exploração de Rodovias,0.09702282314654138,3,2010-07-31
2010-07,"Exploração, Refino e Distribuição",0.20759441266069906,4,2010-07-31
2010-07,Fertilizantes e Defensivos,0.005795661777914092,3,2010-07-31
2010-07,Fios e Tecidos,0.04893260224422045,14,2010-07-31
2010-07,Gás,0.024693361471016084,2,2010-07-31
2010-07,Holdings Diversificadas,0.11209190851461043,4,2010-07-31
2010-07,Hotelaria,0.152676840208958,1,2010-07-31
2010-07,Incorporações,0.13110225565575925,18,2010-07-31
2010-07,Intermediação Imobiliária,0.17323735705813537,2,2010-07-31
2010-07,Linhas Aéreas de Passageiros,0.14927046824702783,2,2010-07-31
2010-07,Madeira,0.14600344876046845,2,2010-07-31
2010-07,Materiais Diversos,-0.10295739913731905,1,2010-07-31
